型号,brand,index_zol,price,OLED,IP,full screen,screen_size,back_cam_num,back_cam_1,back_cam_2,back_cam_3,back_cam_4,back_cam_5,front_cam_num,front_cam_1,front_cam_2,front_cam_3,front_cam_4,front_cam_5,CPU_brand,CPU,ram,rom,5G,dpi,ppi,device_length,device_width,device_thickness,fingerprint_type,release date,releaseY,releaseM,wireless_charge,battery vol
vivo X30（8GB/256GB/全网通/5G版）,vivo手机,1305159,3298,1,,1,6.44,3,6400,800,3200,,,1,3200,,,,,三星,三星 Exynos 980,8,256,1,2400x1080像素,,162.15,74.10,,屏幕指纹 ,￥3298,3298,,,4350
vivo S1 Pro（6GB/256GB/全网通）,vivo手机,1271740,,1,,1,6.39,3,4800,800,500,,,1,3200,,,,,高通,高通 骁龙675AIE,6,256,,2340x1080像素,403ppi,158.45,,8.68,屏幕指纹 ,2019/05/,2019,05,,3700
vivo S6（8GB/256GB/全网通/5G版）,vivo手机,1317190,2798,1,,1,6.44,4,4800,800,200,200,,1,1200,,,,,三星,三星 Exynos 980,8,256,1,2400x1080像素,,,74.66,8.1,屏幕指纹 ,2020/03/31,2020,03,,4500
vivo Z3（6GB RAM/全网通）,vivo手机,1234838,,,,1,6.3,2,1600,200,,,,1,1600,,,,,高通,高通 骁龙710AIE,6,64,,2280x1080像素,,161.16,75.63,8.95,后置指纹 ,2018/11/01,2018,11,,3315
vivo X27（8GB RAM/骁龙675/全网通）,vivo手机,1258538,3298,1,,1,6.39,3,4800,1300,500,,,1,1600,,,,,高通,高通 骁龙675,8,128,,2340x1080像素,,155.97,74.26,7.9,屏幕指纹 ,2019/03/23,2019,03,,4000
vivo Y75（3GB RAM/全网通）,vivo手机,1185212,,0,,1,,,,,,,,1,3200,,,,,联发科,联发科 MT6763,3,32,,,282ppi,157.66,72.8,"8.83mm
驼色：158.5",后置指纹 ,2017/12/,2017,12,,
vivo X50 Pro+（8GB/256GB/全网通/5G版）,vivo手机,1330766,5498,1,,1,6.56,4,5000,3200,1300,1300,,1,3200,,,,,高通,高通 骁龙865,8,256,1,2376x1080像素,398ppi,149.3,73,"7.55mm
液氧/浅醺：159.54",屏幕指纹 ,2020/07/11,2020,07,,4350
vivo X50（8GB/256GB/全网通/5G版）,vivo手机,1324729,3898,1,IP53,1,6.56,4,4800,800,500,1300,,1,1600,,,,,高通,高通 骁龙765G,8,256,1,2376x1080像素,398ppi,引力：158.5,75.39,8.85,屏幕指纹 ,2020/06/01,2020,06,,4200
vivo Z5x（6GB/128GB/全网通/712版）,vivo手机,1325870,,,,1,6.53,3,1600,800,200,,,1,1600,,,,,高通,高通 骁龙712,6,128,,2340x1080像素,,黑镜：159.54,77.33,9.4,后置指纹 ,2020/04/,2020,04,,5000
vivo NEX 3S（12GB/256GB/全网通/5G版）,vivo手机,1314271,5298,1,,1,6.89,3,6400,1300,1300,,,1,1600,,,,,高通,高通 骁龙865+X55芯片,12,256,1,2256x1080像素,,162.39,76.14,8.46,屏幕指纹 ,2020/03/10,2020,03,,4500
vivo Y70s（8GB/256GB/全网通/5G版）,vivo手机,1327147,,0,,1,6.53,3,4800,800,200,,,1,800,,,,,三星,三星 Exynos 880,8,256,1,2340x1080像素,,167.44,76.61,8.28,侧面指纹,2020/06/01,2020,06,,4500
vivo Y93（3GB RAM/全网通）,vivo手机,1253432,,0,,0,6.2,2,1300,200,,,,1,1600,,,,,高通,高通 Adreno439,3,64,,,270ppi,162.07,75.09,8.85,,2018/11/,2018,11,,4030
vivo Z5x（8GB/128GB/全网通/712版）,vivo手机,1325872,,,,1,6.53,3,1600,800,200,,,1,3200,,,,,高通,高通 骁龙712,8,128,,2340x1080像素,,155.11,77.33,8.68,后置指纹 ,2020/04/,2020,04,,5000
vivo G1（8GB/128GB/全网通/5G版） ,vivo手机,1321961,,1,,1,6.44,4,4800,800,200,200,,1,3200,,,,,三星,三星 Exynos 980,8,128,1,2400x1080像素,,162.39,74.40,8.64,屏幕指纹 ,2020/05/,2020,05,,4500
vivo S5（8GB/256GB/全网通）,vivo手机,1304279,2298,1,,1,6.44,4,4800,800,200,500,,1,1600,,,,,高通,高通 骁龙712,8,256,,2400x1080像素,,161.50,73.92,,屏幕指纹 ,2019/11/14,2019,11,,4100
vivo Z3X（4GB/64GB/全网通）,vivo手机,1271142,,0,,1,6.26,2,1300,200,,,,1,1600,,,,,高通,高通 骁龙660,4,64,,2280x1080像素,403ppi,157.9,,8.85,后置指纹 ,2019/04/,2019,04,,
vivo Z5x（6GB/128GB/全网通）,vivo手机,1275809,,,,1,6.53,3,1600,800,200,,,1,3200,,,,,高通,高通 骁龙710,6,128,,2340x1080像素,,,77.33,8.13,,2019/05/24,2019,05,,5000
vivo Z5（8GB/128GB/全网通）,vivo手机,1286141,,1,,1,6.38,3,4800,800,200,,,1,2400,,,,,高通,高通 骁龙712,8,128,,2340x1080像素,404ppi,162.39,75.23,7.7,屏幕指纹 ,2019/07/31,2019,07,,4500
vivo Y79（移动全网通）,vivo手机,1193633,,,,1,,1,2400,,,,,1,1600,,,,,高通,高通 骁龙625（MSM8953）,4,64,,,269ppi,159.53,75.74,8.1,后置指纹 ,2017/11/,2017,11,,
vivo Y97（6GB RAM/全网通）,vivo手机,1250849,,0,,1,6.3,2,1600,200,,,,1,2000,,,,,联发科,联发科 Helio P60（MT6771）,6,128,,2280x1080像素,403ppi,155.87,75.63,,,2018/09/11,2018,09,,3315
vivo Y95（全网通）,vivo手机,1241602,,,,1,6.22,2,1300,200,,,,1,1600,,,,,高通,高通 骁龙439,4,64,,,270ppi,155.97,,9.4,后置指纹 ,2018/11/,2018,11,,4030
vivo NEX 3（12GB/256GB/全网通/5G版）,vivo手机,1292819,,1,,1,6.89,3,6400,1300,1300,,,1,3200,,,,,高通,高通 骁龙855 Plus,12,256,1,2256x1080像素,,,76.14,8.13,屏幕指纹 ,2019/09/16,2019,09,,4500
vivo Z5（6GB/256GB/全网通）,vivo手机,1288261,2798,1,,1,6.38,3,4800,800,200,,,1,1600,,,,,高通,高通 骁龙712,6,256,,2340x1080像素,404ppi,167.44,75.23,8.85,屏幕指纹 ,2019/07/31,2019,07,,4500
vivo Z5x（8GB/128GB/全网通）,vivo手机,1275812,1998,,,1,6.53,3,1600,800,200,,,1,3200,800,,,,高通,高通 骁龙710,8,128,,2340x1080像素,394ppi,159.53,77.33,8.5,,2019/05/24,2019,05,,5000
vivo V19（全网通）,vivo手机,1315293,,1,,1,6.44,4,4800,800,200,200,,2,2480,,,,,高通,高通 骁龙712,8,128,,2400x1080像素,,162.39,75.04,8.54,屏幕指纹 ,2020/3/,2020,3,,4500
vivo S1（4GB/128GB/全网通）,vivo手机,1298320,,,,1,6.53,4,1200,2400,800,500,,1,3200,,,,,联发科,联发科 Helio P70,4,128,,2340x1080像素,,159.64,75.93,8.80,后置指纹 ,2019/03/,2019,03,,3940
vivo X30 Pro（8GB/128GB/全网通/5G版/aw联名限定版）,vivo手机,1315020,3798,1,,1,6.44,4,6400,1300,800,3200,,1,1600,,,,,三星,三星 Exynos 980,8,128,1,2400x1080像素,,161.97,74.10,9.4,屏幕指纹 ,2020/3/20,2020,3,,4350
vivo NEX 3（8GB/128GB/全网通）,vivo手机,1285391,,1,,1,6.89,3,6400,1300,1300,,,1,800,,,,,高通,高通 骁龙855 Plus,8,128,,2256x1080像素,,158.45,76.14,8.92,屏幕指纹 ,2019/09/16,2019,09,,4500
vivo U3x（6GB/64GB/全网通） ,vivo手机,1315076,,,,1,6.35,3,1300,800,200,,,1,3200,,,,,高通,高通 骁龙665,6,64,,,268ppi,167.44,76.77,8.13,后置指纹 ,2020/03/,2020,03,,5000
