机型,日期,销量,月份,周数,index
OPPO A32,6.1-6.4,\,6,23,1339260
OPPO A32,6.5-6.11,\,6,24,1339260
OPPO A32,6.12-6.18,\,6,25,1339260
OPPO A32,6.19-6.25,\,6,26,1339260
OPPO A32,6.26-6.30,\,6,27,1339260
OPPO A32,7.1-7.2,\,7,27,1339260
OPPO A32,7.3-7.9,\,7,28,1339260
OPPO A32,7.10-7.16,\,7,29,1339260
OPPO A32,7.17-7.23,\,7,30,1339260
OPPO A32,7.24-7.30,\,7,31,1339260
OPPO A32,7.31-7.31,\,7,32,1339260
OPPO A32,8.1-8.6,\,8,32,1339260
OPPO A32,8.7-8.13,\,8,33,1339260
OPPO A32,8.14-8.20,\,8,34,1339260
OPPO A32,8.21-8.27,\,8,35,1339260
OPPO A32,8.28-8.31,\,8,36,1339260
OPPO A32,9.1-9.3,\,9,36,1339260
OPPO A32,9.4-9.10,\,9,37,1339260
OPPO A32,9.11-9.17,\,9,38,1339260
OPPO A32,9.18-9.24,30170,9,39,1339260
OPPO A32,9.25-9.30,36307,9,40,1339260
OPPO A32,10.1,12945,10,40,1339260
OPPO A32,10.2-10.8,75077,10,41,1339260
OPPO A32,10.9-10.15,69797,10,42,1339260
OPPO A32,10.16-10.22,82290,10,43,1339260
OPPO A52,1.1-1.5,\,1,1,1319916
OPPO A52,1.6-1.12,\,1,2,1319916
OPPO A52,1.13-1.19,\,1,3,1319916
OPPO A52,1.20-1.26,\,1,4,1319916
OPPO A52,1.27-1.31,\,1,5,1319916
OPPO A52,2.1-2.2,\,2,5,1319916
OPPO A52,2.3-2.9,\,2,6,1319916
OPPO A52,2.10-2.16,\,2,7,1319916
OPPO A52,2.17-2.23,\,2,8,1319916
OPPO A52,2.24-2.29,\,2,9,1319916
OPPO A52,3.1-3.5,\,3,10,1319916
OPPO A52,3.6-3.12,\,3,11,1319916
OPPO A52,3.13-3.19,\,3,12,1319916
OPPO A52,3.20-3.26,\,3,13,1319916
OPPO A52,3.27-3.31,\,3,14,1319916
OPPO A52,4.1-4.2,\,4,14,1319916
OPPO A52,4.3-4.9,\,4,15,1319916
OPPO A52,4.10-4.16,\,4,16,1319916
OPPO A52,4.17-4.23,3874,4,17,1319916
OPPO A52,4.24-4.30,17607,4,18,1319916
OPPO A52,5.1-5.7,32974,5,19,1319916
OPPO A52,5.8-5.14,35767,5,20,1319916
OPPO A52,5.15-5.21,38113,5,21,1319916
OPPO A52,5.22-5.28,40293,5,22,1319916
OPPO A52,5.29-5.31,19016,5,23,1319916
OPPO A52,6.1-6.4,24647,6,23,1319916
OPPO A52,6.5-6.11,44364,6,24,1319916
OPPO A52,6.12-6.18,44878,6,25,1319916
OPPO A52,6.19-6.25,48511,6,26,1319916
OPPO A52,6.26-6.30,36804,6,27,1319916
OPPO A52,7.1-7.2,16222,7,27,1319916
OPPO A52,7.3-7.9,60776,7,28,1319916
OPPO A52,7.10-7.16,66907,7,29,1319916
OPPO A52,7.17-7.23,69626,7,30,1319916
OPPO A52,7.24-7.30,72151,7,31,1319916
OPPO A52,7.31-7.31,10307,7,32,1319916
OPPO A52,8.1-8.6,61545,8,32,1319916
OPPO A52,8.7-8.13,73762,8,33,1319916
OPPO A52,8.14-8.20,75955,8,34,1319916
OPPO A52,8.21-8.27,74595,8,35,1319916
OPPO A52,8.28-8.31,41495,8,36,1319916
OPPO A52,9.1-9.3,27285,9,36,1319916
OPPO A52,9.4-9.10,61553,9,37,1319916
OPPO A52,9.11-9.17,60106,9,38,1319916
OPPO A52,9.18-9.24,55969,9,39,1319916
OPPO A52,9.25-9.30,47903,9,40,1319916
OPPO A52,10.1,10758,10,40,1319916
OPPO A52,10.2-10.8,62866,10,41,1319916
OPPO A52,10.9-10.15,51889,10,42,1319916
OPPO A52,10.16-10.22,56818,10,43,1319916
OPPO A7,1.1-1.5,13079,1,1,1232384
OPPO A7,1.6-1.12,17209,1,2,1232384
OPPO A7,1.13-1.19,16221,1,3,1232384
OPPO A7,1.20-1.26,15287,1,4,1232384
OPPO A7,1.27-1.31,8517,1,5,1232384
OPPO A7,2.1-2.2,3132,2,5,1232384
OPPO A7,2.3-2.9,8872,2,6,1232384
