机型,日期,销量,月份,周数,index
vivo Y9s,1.13-1.19,30854,1,3,1303133
vivo Y9s,1.20-1.26,38723,1,4,1303133
vivo Y9s,1.27-1.31,20696,1,5,1303133
vivo Y9s,2.1-2.2,8247,2,5,1303133
vivo Y9s,2.3-2.9,20799,2,6,1303133
vivo Y9s,2.10-2.16,20794,2,7,1303133
vivo Y9s,2.17-2.23,25760,2,8,1303133
vivo Y9s,2.24-2.29,28439,2,9,1303133
vivo Y9s,3.1-3.5,26692,3,10,1303133
vivo Y9s,3.6-3.12,31049,3,11,1303133
vivo Y9s,3.13-3.19,31000,3,12,1303133
vivo Y9s,3.20-3.26,44249,3,13,1303133
vivo Y9s,3.27-3.31,20552,3,14,1303133
vivo Y9s,4.1-4.2,9047,4,14,1303133
vivo Y9s,4.3-4.9,28453,4,15,1303133
vivo Y9s,4.10-4.16,27823,4,16,1303133
vivo Y9s,4.17-4.23,33176,4,17,1303133
vivo Y9s,4.24-4.30,31077,4,18,1303133
vivo Y9s,5.1-5.7,32261,5,19,1303133
vivo Y9s,5.8-5.14,30680,5,20,1303133
vivo Y9s,5.15-5.21,31457,5,21,1303133
vivo Y9s,5.22-5.28,34841,5,22,1303133
vivo Y9s,5.29-5.31,18955,5,23,1303133
vivo Y9s,6.1-6.4,23089,6,23,1303133
vivo Y9s,6.5-6.11,36712,6,24,1303133
vivo Y9s,6.12-6.18,39231,6,25,1303133
vivo Y9s,6.19-6.25,44326,6,26,1303133
vivo Y9s,6.26-6.30,38620,6,27,1303133
vivo Y9s,7.1-7.2,17815,7,27,1303133
vivo Y9s,7.3-7.9,49780,7,28,1303133
vivo Y9s,7.10-7.16,55705,7,29,1303133
vivo Y9s,7.17-7.23,58536,7,30,1303133
vivo Y9s,7.24-7.30,48944,7,31,1303133
vivo Y9s,7.31-7.31,6992,7,32,1303133
vivo Y9s,8.1-8.6,41546,8,32,1303133
vivo Y9s,8.7-8.13,44000,8,33,1303133
vivo Y9s,8.14-8.20,34926,8,34,1303133
vivo Y9s,8.21-8.27,27437,8,35,1303133
vivo Y9s,8.28-8.31,15094,8,36,1303133
vivo Y9s,9.1-9.3,9752,9,36,1303133
vivo Y9s,9.4-9.10,17454,9,37,1303133
vivo Y9s,9.11-9.17,16863,9,38,1303133
vivo Y9s,9.18-9.24,16032,9,39,1303133
vivo Y9s,9.25-9.30,12960,9,40,1303133
vivo Y9s,10.1,3255,10,40,1303133
vivo Y9s,10.2-10.8,14585,10,41,1303133
vivo Y9s,10.9-10.15,11863,10,42,1303133
vivo Y9s,10.16-10.22,11485,10,43,1303133
vivo Z3,1.1-1.5,8038,1,1,1233833
vivo Z3,1.6-1.12,10089,1,2,1233833
vivo Z3,1.13-1.19,22615,1,3,1233833
vivo Z3,1.20-1.26,26475,1,4,1233833
vivo Z3,1.27-1.31,13932,1,5,1233833
vivo Z3,2.1-2.2,3827,2,5,1233833
vivo Z3,2.3-2.9,12402,2,6,1233833
vivo Z3,2.10-2.16,12039,2,7,1233833
vivo Z3,2.17-2.23,13135,2,8,1233833
vivo Z3,2.24-2.29,12646,2,9,1233833
vivo Z3,3.1-3.5,9259,3,10,1233833
vivo Z3,3.6-3.12,12966,3,11,1233833
vivo Z3,3.13-3.19,11089,3,12,1233833
vivo Z3,3.20-3.26,11167,3,13,1233833
vivo Z3,3.27-3.31,6819,3,14,1233833
vivo Z3,4.1-4.2,1773,4,14,1233833
vivo Z3,4.3-4.9,4029,4,15,1233833
vivo Z3,4.10-4.16,4040,4,16,1233833
vivo Z3,4.17-4.23,3558,4,17,1233833
vivo Z3,4.24-4.30,3214,4,18,1233833
vivo Z3,5.1-5.7,3606,5,19,1233833
vivo Z3,5.8-5.14,3602,5,20,1233833
vivo Z3,5.15-5.21,2581,5,21,1233833
vivo Z3,5.22-5.28,2555,5,22,1233833
vivo Z3,5.29-5.31,1071,5,23,1233833
vivo Z3,6.1-6.4,1327,6,23,1233833
vivo Z3,6.5-6.11,2090,6,24,1233833
vivo Z3,6.12-6.18,2551,6,25,1233833
vivo Z3,6.19-6.25,3227,6,26,1233833
vivo Z3,6.26-6.30,3236,6,27,1233833
vivo Z3,7.1-7.2,1498,7,27,1233833
vivo Z3,7.3-7.9,6406,7,28,1233833
vivo Z3,7.10-7.16,3961,7,29,1233833
vivo Z3,7.17-7.23,2253,7,30,1233833
vivo Z3,7.24-7.30,2057,7,31,1233833
vivo Z3,7.31-7.31,294,7,32,1233833
vivo Z3,8.1-8.6,4251,8,32,1233833
vivo Z3,8.7-8.13,3100,8,33,1233833
vivo Z3,8.14-8.20,1960,8,34,1233833
vivo Z3,8.21-8.27,2167,8,35,1233833
vivo Z3,8.28-8.31,1477,8,36,1233833
vivo Z3,9.1-9.3,958,9,36,1233833
vivo Z3,9.4-9.10,2187,9,37,1233833
vivo Z3,9.11-9.17,2478,9,38,1233833
vivo Z3,9.18-9.24,2414,9,39,1233833
vivo Z3,9.25-9.30,1734,9,40,1233833
vivo Z3,10.1,282,10,40,1233833
vivo Z3,10.2-10.8,1434,10,41,1233833
vivo Z3,10.9-10.15,1212,10,42,1233833
vivo Z3,10.16-10.22,1172,10,43,1233833
vivo Z3X,1.1-1.5,2094,1,1,1271142
vivo Z3X,1.6-1.12,2900,1,2,1271142
vivo Z3X,1.13-1.19,2393,1,3,1271142
vivo Z3X,1.20-1.26,2532,1,4,1271142
vivo Z3X,1.27-1.31,1373,1,5,1271142
vivo Z3X,2.1-2.2,485,2,5,1271142
vivo Z3X,2.3-2.9,1373,2,6,1271142
vivo Z3X,2.10-2.16,1136,2,7,1271142
vivo Z3X,2.17-2.23,1048,2,8,1271142
vivo Z3X,2.24-2.29,889,2,9,1271142
vivo Z3X,3.1-3.5,793,3,10,1271142
vivo Z3X,3.6-3.12,918,3,11,1271142
vivo Z3X,3.13-3.19,785,3,12,1271142
vivo Z3X,3.20-3.26,2003,3,13,1271142
vivo Z3X,3.27-3.31,794,3,14,1271142
vivo Z3X,4.1-4.2,263,4,14,1271142
vivo Z3X,4.3-4.9,935,4,15,1271142
vivo Z3X,4.10-4.16,814,4,16,1271142
vivo Z3X,4.17-4.23,710,4,17,1271142
vivo Z3X,4.24-4.30,650,4,18,1271142
vivo Z3X,5.1-5.7,625,5,19,1271142
vivo Z3X,5.8-5.14,580,5,20,1271142
vivo Z3X,5.15-5.21,580,5,21,1271142
vivo Z3X,5.22-5.28,501,5,22,1271142
vivo Z3X,5.29-5.31,226,5,23,1271142
vivo Z3X,6.1-6.4,311,6,23,1271142
vivo Z3X,6.5-6.11,493,6,24,1271142
vivo Z3X,6.12-6.18,501,6,25,1271142
vivo Z3X,6.19-6.25,467,6,26,1271142
vivo Z3X,6.26-6.30,358,6,27,1271142
vivo Z3X,7.1-7.2,168,7,27,1271142
vivo Z3X,7.3-7.9,486,7,28,1271142
vivo Z3X,7.10-7.16,634,7,29,1271142
vivo Z3X,7.17-7.23,618,7,30,1271142
vivo Z3X,7.24-7.30,555,7,31,1271142
vivo Z3X,7.31-7.31,79,7,32,1271142
vivo Z3X,8.1-8.6,539,8,32,1271142
vivo Z3X,8.7-8.13,656,8,33,1271142
vivo Z3X,8.14-8.20,583,8,34,1271142
vivo Z3X,8.21-8.27,480,8,35,1271142
vivo Z3X,8.28-8.31,252,8,36,1271142
vivo Z3X,9.1-9.3,174,9,36,1271142
vivo Z3X,9.4-9.10,450,9,37,1271142
vivo Z3X,9.11-9.17,285,9,38,1271142
vivo Z3X,9.18-9.24,275,9,39,1271142
vivo Z3X,9.25-9.30,170,9,40,1271142
vivo Z3X,10.1,22,10,40,1271142
vivo Z3X,10.2-10.8,134,10,41,1271142
vivo Z3X,10.9-10.15,156,10,42,1271142
vivo Z3X,10.16-10.22,106,10,43,1271142
vivo Z5,1.1-1.5,22127,1,1,1258285
vivo Z5,1.6-1.12,26421,1,2,1258285
vivo Z5,1.13-1.19,24878,1,3,1258285
vivo Z5,1.20-1.26,23797,1,4,1258285
vivo Z5,1.27-1.31,12873,1,5,1258285
vivo Z5,2.1-2.2,4896,2,5,1258285
vivo Z5,2.3-2.9,13031,2,6,1258285
vivo Z5,2.10-2.16,12895,2,7,1258285
vivo Z5,2.17-2.23,14767,2,8,1258285
vivo Z5,2.24-2.29,13737,2,9,1258285
vivo Z5,3.1-3.5,13524,3,10,1258285
vivo Z5,3.6-3.12,17676,3,11,1258285
vivo Z5,3.13-3.19,17268,3,12,1258285
vivo Z5,3.20-3.26,25359,3,13,1258285
vivo Z5,3.27-3.31,12661,3,14,1258285
vivo Z5,4.1-4.2,5499,4,14,1258285
vivo Z5,4.3-4.9,17404,4,15,1258285
vivo Z5,4.10-4.16,14265,4,16,1258285
vivo Z5,4.17-4.23,13879,4,17,1258285
vivo Z5,4.24-4.30,12503,4,18,1258285
vivo Z5,5.1-5.7,12851,5,19,1258285
vivo Z5,5.8-5.14,12432,5,20,1258285
vivo Z5,5.15-5.21,11747,5,21,1258285
vivo Z5,5.22-5.28,10927,5,22,1258285
vivo Z5,5.29-5.31,4935,5,23,1258285
vivo Z5,6.1-6.4,7805,6,23,1258285
vivo Z5,6.5-6.11,13073,6,24,1258285
vivo Z5,6.12-6.18,12377,6,25,1258285
vivo Z5,6.19-6.25,13582,6,26,1258285
vivo Z5,6.26-6.30,8419,6,27,1258285
vivo Z5,7.1-7.2,3478,7,27,1258285
vivo Z5,7.3-7.9,9325,7,28,1258285
vivo Z5,7.10-7.16,9933,7,29,1258285
vivo Z5,7.17-7.23,9929,7,30,1258285
vivo Z5,7.24-7.30,8264,7,31,1258285
vivo Z5,7.31-7.31,1181,7,32,1258285
vivo Z5,8.1-8.6,7645,8,32,1258285
vivo Z5,8.7-8.13,8008,8,33,1258285
vivo Z5,8.14-8.20,7017,8,34,1258285
vivo Z5,8.21-8.27,5821,8,35,1258285
vivo Z5,8.28-8.31,3201,8,36,1258285
vivo Z5,9.1-9.3,1803,9,36,1258285
vivo Z5,9.4-9.10,2878,9,37,1258285
vivo Z5,9.11-9.17,1769,9,38,1258285
vivo Z5,9.18-9.24,2479,9,39,1258285
vivo Z5,9.25-9.30,1988,9,40,1258285
vivo Z5,10.1,304,10,40,1258285
vivo Z5,10.2-10.8,1130,10,41,1258285
vivo Z5,10.9-10.15,1486,10,42,1258285
vivo Z5,10.16-10.22,1417,10,43,1258285
vivo Z5x,1.1-1.5,34519,1,1,1274009
vivo Z5x,1.6-1.12,44317,1,2,1274009
vivo Z5x,1.13-1.19,43637,1,3,1274009
vivo Z5x,1.20-1.26,45053,1,4,1274009
vivo Z5x,1.27-1.31,24707,1,5,1274009
vivo Z5x,2.1-2.2,8684,2,5,1274009
vivo Z5x,2.3-2.9,23254,2,6,1274009
vivo Z5x,2.10-2.16,20778,2,7,1274009
vivo Z5x,2.17-2.23,21199,2,8,1274009
vivo Z5x,2.24-2.29,19144,2,9,1274009
vivo Z5x,3.1-3.5,16775,3,10,1274009
vivo Z5x,3.6-3.12,20924,3,11,1274009
vivo Z5x,3.13-3.19,22710,3,12,1274009
vivo Z5x,3.20-3.26,35461,3,13,1274009
vivo Z5x,3.27-3.31,15388,3,14,1274009
vivo Z5x,4.1-4.2,6195,4,14,1274009
vivo Z5x,4.3-4.9,21749,4,15,1274009
vivo Z5x,4.10-4.16,20080,4,16,1274009
vivo Z5x,4.17-4.23,22313,4,17,1274009
vivo Z5x,4.24-4.30,21255,4,18,1274009
vivo Z5x,5.1-5.7,22259,5,19,1274009
vivo Z5x,5.8-5.14,21620,5,20,1274009
vivo Z5x,5.15-5.21,19167,5,21,1274009
vivo Z5x,5.22-5.28,17869,5,22,1274009
vivo Z5x,5.29-5.31,8004,5,23,1274009
vivo Z5x,6.1-6.4,9874,6,23,1274009
vivo Z5x,6.5-6.11,14780,6,24,1274009
vivo Z5x,6.12-6.18,12624,6,25,1274009
vivo Z5x,6.19-6.25,11859,6,26,1274009
vivo Z5x,6.26-6.30,8748,6,27,1274009
vivo Z5x,7.1-7.2,3504,7,27,1274009
vivo Z5x,7.3-7.9,8002,7,28,1274009
vivo Z5x,7.10-7.16,7502,7,29,1274009
vivo Z5x,7.17-7.23,7553,7,30,1274009
vivo Z5x,7.24-7.30,6416,7,31,1274009
vivo Z5x,7.31-7.31,917,7,32,1274009
vivo Z5x,8.1-8.6,6552,8,32,1274009
vivo Z5x,8.7-8.13,8134,8,33,1274009
vivo Z5x,8.14-8.20,6842,8,34,1274009
vivo Z5x,8.21-8.27,5369,8,35,1274009
vivo Z5x,8.28-8.31,3023,8,36,1274009
vivo Z5x,9.1-9.3,2006,9,36,1274009
vivo Z5x,9.4-9.10,3808,9,37,1274009
vivo Z5x,9.11-9.17,3206,9,38,1274009
vivo Z5x,9.18-9.24,2645,9,39,1274009
vivo Z5x,9.25-9.30,1372,9,40,1274009
vivo Z5x,10.1,169,10,40,1274009
vivo Z5x,10.2-10.8,706,10,41,1274009
vivo Z5x,10.9-10.15,564,10,42,1274009
vivo Z5x,10.16-10.22,486,10,43,1274009
vivo Z5x 712版,1.1-1.5,\,1,1,1325870
vivo Z5x 712版,1.6-1.12,\,1,2,1325870
vivo Z5x 712版,1.13-1.19,\,1,3,1325870
vivo Z5x 712版,1.20-1.26,\,1,4,1325870
vivo Z5x 712版,1.27-1.31,\,1,5,1325870
vivo Z5x 712版,2.1-2.2,\,2,5,1325870
vivo Z5x 712版,2.3-2.9,\,2,6,1325870
vivo Z5x 712版,2.10-2.16,\,2,7,1325870
vivo Z5x 712版,2.17-2.23,\,2,8,1325870
vivo Z5x 712版,2.24-2.29,\,2,9,1325870
vivo Z5x 712版,3.1-3.5,\,3,10,1325870
vivo Z5x 712版,3.6-3.12,\,3,11,1325870
vivo Z5x 712版,3.13-3.19,\,3,12,1325870
vivo Z5x 712版,3.20-3.26,\,3,13,1325870
vivo Z5x 712版,3.27-3.31,\,3,14,1325870
vivo Z5x 712版,4.1-4.2,\,4,14,1325870
vivo Z5x 712版,4.3-4.9,\,4,15,1325870
vivo Z5x 712版,4.10-4.16,\,4,16,1325870
vivo Z5x 712版,4.17-4.23,\,4,17,1325870
vivo Z5x 712版,4.24-4.30,\,4,18,1325870
vivo Z5x 712版,5.1-5.7,\,5,19,1325870
vivo Z5x 712版,5.8-5.14,\,5,20,1325870
vivo Z5x 712版,5.15-5.21,\,5,21,1325870
vivo Z5x 712版,5.22-5.28,\,5,22,1325870
vivo Z5x 712版,5.29-5.31,21234,5,23,1325870
vivo Z5x 712版,6.1-6.4,37666,6,23,1325870
vivo Z5x 712版,6.5-6.11,78373,6,24,1325870
vivo Z5x 712版,6.12-6.18,97976,6,25,1325870
vivo Z5x 712版,6.19-6.25,123661,6,26,1325870
vivo Z5x 712版,6.26-6.30,74749,6,27,1325870
vivo Z5x 712版,7.1-7.2,30061,7,27,1325870
vivo Z5x 712版,7.3-7.9,102336,7,28,1325870
vivo Z5x 712版,7.10-7.16,107164,7,29,1325870
vivo Z5x 712版,7.17-7.23,111779,7,30,1325870
vivo Z5x 712版,7.24-7.30,112618,7,31,1325870
vivo Z5x 712版,7.31-7.31,16088,7,32,1325870
vivo Z5x 712版,8.1-8.6,102542,8,32,1325870
vivo Z5x 712版,8.7-8.13,114757,8,33,1325870
vivo Z5x 712版,8.14-8.20,112129,8,34,1325870
vivo Z5x 712版,8.21-8.27,103333,8,35,1325870
vivo Z5x 712版,8.28-8.31,55003,8,36,1325870
vivo Z5x 712版,9.1-9.3,35148,9,36,1325870
vivo Z5x 712版,9.4-9.10,78302,9,37,1325870
vivo Z5x 712版,9.11-9.17,75501,9,38,1325870
vivo Z5x 712版,9.18-9.24,70286,9,39,1325870
vivo Z5x 712版,9.25-9.30,58630,9,40,1325870
vivo Z5x 712版,10.1,13176,10,40,1325870
vivo Z5x 712版,10.2-10.8,74703,10,41,1325870
vivo Z5x 712版,10.9-10.15,61529,10,42,1325870
vivo Z5x 712版,10.16-10.22,64288,10,43,1325870
vivo Z6,1.1-1.5,\,1,1,1311965
vivo Z6,1.6-1.12,\,1,2,1311965
vivo Z6,1.13-1.19,\,1,3,1311965
vivo Z6,1.20-1.26,\,1,4,1311965
vivo Z6,1.27-1.31,\,1,5,1311965
vivo Z6,2.1-2.2,\,2,5,1311965
vivo Z6,2.3-2.9,\,2,6,1311965
vivo Z6,2.10-2.16,\,2,7,1311965
vivo Z6,2.17-2.23,\,2,8,1311965
vivo Z6,2.24-2.29,\,2,9,1311965
vivo Z6,3.1-3.5,\,3,10,1311965
vivo Z6,3.6-3.12,3536,3,11,1311965
vivo Z6,3.13-3.19,12602,3,12,1311965
vivo Z6,3.20-3.26,18105,3,13,1311965
vivo Z6,3.27-3.31,15361,3,14,1311965
vivo Z6,4.1-4.2,6278,4,14,1311965
vivo Z6,4.3-4.9,23131,4,15,1311965
vivo Z6,4.10-4.16,22251,4,16,1311965
vivo Z6,4.17-4.23,22571,4,17,1311965
vivo Z6,4.24-4.30,24337,4,18,1311965
vivo Z6,5.1-5.7,31301,5,19,1311965
vivo Z6,5.8-5.14,30287,5,20,1311965
vivo Z6,5.15-5.21,30267,5,21,1311965
vivo Z6,5.22-5.28,30103,5,22,1311965
vivo Z6,5.29-5.31,13343,5,23,1311965
vivo Z6,6.1-6.4,17645,6,23,1311965
vivo Z6,6.5-6.11,31056,6,24,1311965
vivo Z6,6.12-6.18,30324,6,25,1311965
vivo Z6,6.19-6.25,29692,6,26,1311965
vivo Z6,6.26-6.30,21250,6,27,1311965
vivo Z6,7.1-7.2,8622,7,27,1311965
vivo Z6,7.3-7.9,29104,7,28,1311965
vivo Z6,7.10-7.16,29675,7,29,1311965
vivo Z6,7.17-7.23,28148,7,30,1311965
vivo Z6,7.24-7.30,27582,7,31,1311965
vivo Z6,7.31-7.31,3940,7,32,1311965
vivo Z6,8.1-8.6,24452,8,32,1311965
vivo Z6,8.7-8.13,26956,8,33,1311965
vivo Z6,8.14-8.20,25620,8,34,1311965
vivo Z6,8.21-8.27,25204,8,35,1311965
vivo Z6,8.28-8.31,14070,8,36,1311965
vivo Z6,9.1-9.3,10247,9,36,1311965
vivo Z6,9.4-9.10,22818,9,37,1311965
vivo Z6,9.11-9.17,22003,9,38,1311965
vivo Z6,9.18-9.24,21577,9,39,1311965
vivo Z6,9.25-9.30,18622,9,40,1311965
vivo Z6,10.1,3641,10,40,1311965
vivo Z6,10.2-10.8,22072,10,41,1311965
vivo Z6,10.9-10.15,20921,10,42,1311965
vivo Z6,10.16-10.22,20949,10,43,1311965
华为 P40 Pro+,1.1-1.5,\,1,1,1316634
华为 P40 Pro+,1.6-1.12,\,1,2,1316634
华为 P40 Pro+,1.13-1.19,\,1,3,1316634
华为 P40 Pro+,1.20-1.26,\,1,4,1316634
华为 P40 Pro+,1.27-1.31,\,1,5,1316634
华为 P40 Pro+,2.1-2.2,\,2,5,1316634
华为 P40 Pro+,2.3-2.9,\,2,6,1316634
华为 P40 Pro+,2.10-2.16,\,2,7,1316634
华为 P40 Pro+,2.17-2.23,\,2,8,1316634
华为 P40 Pro+,2.24-2.29,\,2,9,1316634
华为 P40 Pro+,3.1-3.5,\,3,10,1316634
华为 P40 Pro+,3.6-3.12,\,3,11,1316634
华为 P40 Pro+,3.13-3.19,\,3,12,1316634
华为 P40 Pro+,3.20-3.26,\,3,13,1316634
华为 P40 Pro+,3.27-3.31,\,3,14,1316634
华为 P40 Pro+,4.1-4.2,\,4,14,1316634
华为 P40 Pro+,4.3-4.9,\,4,15,1316634
华为 P40 Pro+,4.10-4.16,\,4,16,1316634
华为 P40 Pro+,4.17-4.23,\,4,17,1316634
华为 P40 Pro+,4.24-4.30,\,4,18,1316634
华为 P40 Pro+,5.1-5.7,\,5,19,1316634
华为 P40 Pro+,5.8-5.14,\,5,20,1316634
华为 P40 Pro+,5.15-5.21,\,5,21,1316634
华为 P40 Pro+,5.22-5.28,\,5,22,1316634
华为 P40 Pro+,5.29-5.31,\,5,23,1316634
华为 P40 Pro+,6.1-6.4,\,6,23,1316634
华为 P40 Pro+,6.5-6.11,3026,6,24,1316634
华为 P40 Pro+,6.12-6.18,8072,6,25,1316634
华为 P40 Pro+,6.19-6.25,10336,6,26,1316634
华为 P40 Pro+,6.26-6.30,9409,6,27,1316634
华为 P40 Pro+,7.1-7.2,3762,7,27,1316634
华为 P40 Pro+,7.3-7.9,13650,7,28,1316634
华为 P40 Pro+,7.10-7.16,15607,7,29,1316634
华为 P40 Pro+,7.17-7.23,16722,7,30,1316634
华为 P40 Pro+,7.24-7.30,20060,7,31,1316634
华为 P40 Pro+,7.31-7.31,2866,7,32,1316634
华为 P40 Pro+,8.1-8.6,18472,8,32,1316634
华为 P40 Pro+,8.7-8.13,25279,8,33,1316634
华为 P40 Pro+,8.14-8.20,29459,8,34,1316634
华为 P40 Pro+,8.21-8.27,28844,8,35,1316634
华为 P40 Pro+,8.28-8.31,17368,8,36,1316634
华为 P40 Pro+,9.1-9.3,12620,9,36,1316634
华为 P40 Pro+,9.4-9.10,28543,9,37,1316634
华为 P40 Pro+,9.11-9.17,28398,9,38,1316634
华为 P40 Pro+,9.18-9.24,28830,9,39,1316634
华为 P40 Pro+,9.25-9.30,25650,9,40,1316634
华为 P40 Pro+,10.1,4488,10,40,1316634
华为 P40 Pro+,10.2-10.8,31318,10,41,1316634
华为 P40 Pro+,10.9-10.15,31919,10,42,1316634
华为 P40 Pro+,10.16-10.22,29901,10,43,1316634
华为Mate 20,1.1-1.5,44226,1,1,1227467
华为Mate 20,1.6-1.12,51279,1,2,1227467
华为Mate 20,1.13-1.19,65255,1,3,1227467
华为Mate 20,1.20-1.26,72086,1,4,1227467
华为Mate 20,1.27-1.31,44349,1,5,1227467
华为Mate 20,2.1-2.2,14350,2,5,1227467
华为Mate 20,2.3-2.9,41212,2,6,1227467
华为Mate 20,2.10-2.16,36462,2,7,1227467
华为Mate 20,2.17-2.23,41661,2,8,1227467
华为Mate 20,2.24-2.29,41775,2,9,1227467
华为Mate 20,3.1-3.5,36711,3,10,1227467
华为Mate 20,3.6-3.12,46102,3,11,1227467
华为Mate 20,3.13-3.19,41062,3,12,1227467
华为Mate 20,3.20-3.26,23300,3,13,1227467
华为Mate 20,3.27-3.31,15408,3,14,1227467
华为Mate 20,4.1-4.2,7074,4,14,1227467
华为Mate 20,4.3-4.9,22488,4,15,1227467
华为Mate 20,4.10-4.16,19973,4,16,1227467
华为Mate 20,4.17-4.23,18481,4,17,1227467
华为Mate 20,4.24-4.30,20192,4,18,1227467
华为Mate 20,5.1-5.7,21725,5,19,1227467
华为Mate 20,5.8-5.14,23022,5,20,1227467
华为Mate 20,5.15-5.21,13561,5,21,1227467
华为Mate 20,5.22-5.28,12608,5,22,1227467
华为Mate 20,5.29-5.31,6480,5,23,1227467
华为Mate 20,6.1-6.4,8781,6,23,1227467
华为Mate 20,6.5-6.11,16830,6,24,1227467
华为Mate 20,6.12-6.18,15380,6,25,1227467
华为Mate 20,6.19-6.25,14667,6,26,1227467
华为Mate 20,6.26-6.30,11107,6,27,1227467
华为Mate 20,7.1-7.2,4609,7,27,1227467
华为Mate 20,7.3-7.9,15408,7,28,1227467
华为Mate 20,7.10-7.16,17476,7,29,1227467
华为Mate 20,7.17-7.23,16427,7,30,1227467
华为Mate 20,7.24-7.30,14445,7,31,1227467
华为Mate 20,7.31-7.31,2064,7,32,1227467
华为Mate 20,8.1-8.6,15403,8,32,1227467
华为Mate 20,8.7-8.13,13014,8,33,1227467
华为Mate 20,8.14-8.20,11990,8,34,1227467
华为Mate 20,8.21-8.27,11501,8,35,1227467
华为Mate 20,8.28-8.31,6842,8,36,1227467
华为Mate 20,9.1-9.3,5508,9,36,1227467
华为Mate 20,9.4-9.10,13886,9,37,1227467
华为Mate 20,9.11-9.17,12915,9,38,1227467
华为Mate 20,9.18-9.24,10969,9,39,1227467
华为Mate 20,9.25-9.30,7802,9,40,1227467
华为Mate 20,10.1,1237,10,40,1227467
华为Mate 20,10.2-10.8,7552,10,41,1227467
华为Mate 20,10.9-10.15,8599,10,42,1227467
华为Mate 20,10.16-10.22,6841,10,43,1227467
华为Mate 20 Pro,1.1-1.5,24819,1,1,1224162
华为Mate 20 Pro,1.6-1.12,26280,1,2,1224162
华为Mate 20 Pro,1.13-1.19,35270,1,3,1224162
华为Mate 20 Pro,1.20-1.26,37205,1,4,1224162
华为Mate 20 Pro,1.27-1.31,37444,1,5,1224162
华为Mate 20 Pro,2.1-2.2,12657,2,5,1224162
华为Mate 20 Pro,2.3-2.9,27241,2,6,1224162
华为Mate 20 Pro,2.10-2.16,24655,2,7,1224162
华为Mate 20 Pro,2.17-2.23,23746,2,8,1224162
华为Mate 20 Pro,2.24-2.29,23004,2,9,1224162
华为Mate 20 Pro,3.1-3.5,19067,3,10,1224162
华为Mate 20 Pro,3.6-3.12,26204,3,11,1224162
华为Mate 20 Pro,3.13-3.19,23393,3,12,1224162
华为Mate 20 Pro,3.20-3.26,13287,3,13,1224162
华为Mate 20 Pro,3.27-3.31,10515,3,14,1224162
华为Mate 20 Pro,4.1-4.2,5249,4,14,1224162
华为Mate 20 Pro,4.3-4.9,15471,4,15,1224162
华为Mate 20 Pro,4.10-4.16,13634,4,16,1224162
华为Mate 20 Pro,4.17-4.23,14182,4,17,1224162
华为Mate 20 Pro,4.24-4.30,16293,4,18,1224162
华为Mate 20 Pro,5.1-5.7,14768,5,19,1224162
华为Mate 20 Pro,5.8-5.14,14006,5,20,1224162
华为Mate 20 Pro,5.15-5.21,11161,5,21,1224162
华为Mate 20 Pro,5.22-5.28,11764,5,22,1224162
华为Mate 20 Pro,5.29-5.31,6112,5,23,1224162
华为Mate 20 Pro,6.1-6.4,17103,6,23,1224162
华为Mate 20 Pro,6.5-6.11,30863,6,24,1224162
华为Mate 20 Pro,6.12-6.18,27917,6,25,1224162
华为Mate 20 Pro,6.19-6.25,32589,6,26,1224162
华为Mate 20 Pro,6.26-6.30,25886,6,27,1224162
华为Mate 20 Pro,7.1-7.2,11186,7,27,1224162
华为Mate 20 Pro,7.3-7.9,45816,7,28,1224162
华为Mate 20 Pro,7.10-7.16,28202,7,29,1224162
华为Mate 20 Pro,7.17-7.23,18777,7,30,1224162
华为Mate 20 Pro,7.24-7.30,13370,7,31,1224162
华为Mate 20 Pro,7.31-7.31,1910,7,32,1224162
华为Mate 20 Pro,8.1-8.6,12179,8,32,1224162
华为Mate 20 Pro,8.7-8.13,12228,8,33,1224162
华为Mate 20 Pro,8.14-8.20,11102,8,34,1224162
华为Mate 20 Pro,8.21-8.27,10198,8,35,1224162
华为Mate 20 Pro,8.28-8.31,6576,8,36,1224162
华为Mate 20 Pro,9.1-9.3,4299,9,36,1224162
华为Mate 20 Pro,9.4-9.10,10392,9,37,1224162
华为Mate 20 Pro,9.11-9.17,9428,9,38,1224162
华为Mate 20 Pro,9.18-9.24,7968,9,39,1224162
华为Mate 20 Pro,9.25-9.30,5684,9,40,1224162
华为Mate 20 Pro,10.1,750,10,40,1224162
华为Mate 20 Pro,10.2-10.8,4521,10,41,1224162
华为Mate 20 Pro,10.9-10.15,5009,10,42,1224162
华为Mate 20 Pro,10.16-10.22,5459,10,43,1224162
华为Mate 20 RS保时捷版,1.1-1.5,120,1,1,1230266
华为Mate 20 RS保时捷版,1.6-1.12,483,1,2,1230266
华为Mate 20 RS保时捷版,1.13-1.19,472,1,3,1230266
华为Mate 20 RS保时捷版,1.20-1.26,420,1,4,1230266
华为Mate 20 RS保时捷版,1.27-1.31,2432,1,5,1230266
华为Mate 20 RS保时捷版,2.1-2.2,346,2,5,1230266
华为Mate 20 RS保时捷版,2.3-2.9,990,2,6,1230266
华为Mate 20 RS保时捷版,2.10-2.16,404,2,7,1230266
华为Mate 20 RS保时捷版,2.17-2.23,107,2,8,1230266
