型号,brand,index_zol,price,OLED,IP,full_screen,screen_per,screen_size,back_cam_lst,back_cam_num,back_cam_1,back_cam_2,back_cam_3,back_cam_4,back_cam_5,front_cam_lst,front_cam_num,front_cam_1,front_cam_2,front_cam_3,front_cam_4,front_cam_5,CPU_brand,CPU,ram,rom,5G,dpi,ppi,size,device_length,device_width,device_thickness,fingerprint_type,release_date,releaseY,releaseM,wireless_charge,quick_charge,battery_vol
联想A680（联通版）参数,联想手机,368850,,,,,65.09,5,500万像素普通级像素高清像素手机>,1,500,,,,,,0,,,,,,,,512,4,,854x480,196ppi,145x73x10.8mm,145,73,10.8,,2013年,2013,,,,2000
Moto razr（8GB/256GB/全网通/5G版）参数,Moto手机,1335466,,1,,,,6.2,4800万像素高清级像素高清像素手机>,1,4800,,,,,,0,,,,,,高通,高通 骁龙765G手机性能排行>,8,256,1,,,,,,,后置指纹 ,2020年09日15日,2020,09,,1,2800
联想A859参数,联想手机,368905,,,,,,5,800万像素>普通级像素高清像素手机>,1,800,,,,,160万像素普通级像素高像素自拍手机>,1,160,,,,,,,1,8,,1280x720,,,,,,,2014年01月,2014,01,,,
Moto P50（6GB/128GB/全网通）参数,Moto手机,1272893,,,,1,,6.34,4800万像素+500万像素高清级像素高清像素手机>,2,4800,500,,,,2500万像素高清级像素高像素自拍手机>,1,2500,,,,,三星,三星 Exynos 9609手机性能排行>,6,128,1,2520x1080,414ppi,160.1x71.2x8.7mm,160.1,71.2,8.7,后置指纹 ,2019年7月,2019,7,,,3500
Moto Z（XT1650-05/全网通）参数,Moto手机,1136140,,1,,,71.31,5.5,1300万像素>高清级像素 样张秀>，高清像素手机>,1,1300,,,,,500万像素>普通级像素高像素自拍手机>,1,500,,,,,高通,高通 骁龙820（MSM8996）游戏体验 轻掉帧(击败66.18%手机)更多高通 骁龙820（MSM8996）手机>，手机性能排行>,4,64,,2560x1440,534ppi,155.3x75.3x5.2mm,155.3,75.3,5.2,前置指纹 ,2016年09月07日,2016,09,,1,2600
Moto Z3（全网通）参数,Moto手机,1206652,,1,,1,77.86,6.01,双1200万像素高清级像素高清像素手机>,1,1200,,,,,800万像素>普通级像素高像素自拍手机>,1,800,,,,,高通,高通 骁龙835手机性能排行>,6,128,1,2160x1080,402ppi,156.5x76.5x6.75mm,156.5,76.5,6.75,侧面指纹 ,2018年08月,2018,08,,1,3000
Moto edge+（12GB/256GB/全网通/5G版）参数,Moto手机,1310175,,1,,1,93,6.67,10800万像素+1600万像素超广角+1600万像素超广角镜头+800万长焦镜头高清级像素高清像素手机>,4,10800,1600,1600,800,,2500万像素高清级像素高像素自拍手机>,1,2500,,,,,高通,高通 骁龙865更多高通 骁龙865手机>，手机性能排行>,12,256,1,2340x1080,,161.07x71.38x9.6mm,161.07,71.38,9.6,屏幕指纹 ,2020年5月4日,2020,5,1,1,5000
Moto Z 2018（全网通）参数,Moto手机,1168974,,1,,,70.43,5.5,双1200万像素高清级像素高清像素手机>,1,1200,,,,,500万像素>普通级像素高像素自拍手机>,1,500,,,,,高通,高通 骁龙835（MSM8998）游戏运行完美(击败82.8%手机)更多高通 骁龙835（MSM8998）手机>，手机性能排行>,6,128,1,2560x1440,534ppi,155.8x76x6.1mm,155.8,76,6.1,,2017年>,2017,,1,1,2730
Moto E5 Plus（3GB RAM/全网通）参数,Moto手机,1207171,,,,1,76.69,6,1200万像素>高清级像素高清像素手机>,1,1200,,,,,500万像素>普通级像素高像素自拍手机>,1,500,,,,,高通,高通 骁龙430（MSM8937）更多高通 骁龙430（MSM8937）手机>，手机性能排行>,3,32,,1440x720,268ppi,160.9x75.3x9.35mm,160.9,75.3,9.35,后置指纹 ,2018年08月,2018,08,,1,5000
Moto G 5G Plus（4GB/64GB/全网通）参数,Moto手机,1330983,,,,1,90,6.4,4800万像素+500万像素+800万像素+800万像素高清级像素高清像素手机>,4,4800,500,800,800,,1600万像素+800万像素高清级像素高像素自拍手机>,2,1600,800,,,,高通,高通 骁龙765G手机性能排行>,4,64,1,2520x1080,,168x74x9mm,168,74,9,侧面指纹 ,2020年07月,2020,07,,1,5000
Moto G6 Plus（全网通）参数,Moto手机,1206667,,,,1,,5.93,,0,,,,,,,0,,,,,,高通,高通 骁龙630更多高通 骁龙630手机>，手机性能排行>,6,,,,,,,,,,2018年>,2018,,,,
